TIC#,HIP#,"Comp (from CCDM, WDS, or assigned)",HD#,HR#,GJ#,ID/Con,CommonID,DistPc,plx,eplx,Ref_plx,_RAJ2000,_DEJ2000,Vmag,eVmag,Ref,B-V,eB-V,Ref,Rcmag,refRcmag,SpT,Ref_SpT,Teff,eTeff,ref_Teff,log(L/Lsun),e_logL,ref(logL),R*[Rsun],Diam*[mas],Msun,met,e_met,metratio,ref_met,log(g),elog(g),ref_logg,logR'HK,RefR'HK,EEIDau,EEIDmas,Contrast,Rcmag(EarthTwin),P(day),K(cm/s),a(uas),WDS_J,Comp_WDS,"Sep""",Del(Mag),sy_disksflag,ref_disk,groupflag
tic_id,hip_name,hip_compname,hd_name,hr_name,gj_name,constellation,hostname,sy_dist,sy_plx,sy_plxerr,sy_plx_reflink,ra,dec,sy_vmag,sy_vmagerr,sy_vmag_reflink,sy_bvmag,sy_bvmagerr,sy_bvmag_reflink,sy_rcmag,sy_rcmag_reflink,st_spectype,st_spectype_reflink,st_teff,st_tefferr,st_teff_reflink,st_lum,st_lumerr,st_lum_reflink,st_rad,st_diam,st_mass,st_met,st_meterr,st_metratio,st_met_reflink,st_logg,st_loggerr,st_logg_reflink,st_log_rhk,st_log_rhk_reflink,st_eei_orbsep,st_eei_angsep,st_etwin_bratio,st_etwin_rcmag,st_eei_orbper,st_etwin_rvamp,st_etwin_astamp,wds_designation,wds_comp,wds_sep,wds_deltamag,sy_disks_flag,sy_disks_flag_reflink,target_group
TIC_3962869,HIP_3909_,_,HD_4813_,HR_235_,GJ_37_,19_Cet,19_Ceti,15.9230,62.8022,0.0951,2022yCat.1355....0G,12.53162068,-10.64432885,5.176,0.002,1998A&AS..129..431H,0.514,0.011,1997HIP...C......0E,4.850,1980SAAOC...1..166C,F7V,2003AJ....126.2048G,6208,15,2022A&A...663A...4S,0.2506,0.0152,2019AJ....158..138S,1.153,0.674,1.21,-0.120,0.010,[Fe/H],2022A&A...663A...4S,4.390,0.030,2022A&A...663A...4S,-4.865,2010ApJ...725..875I,1.334,83.80,6.50E-11,30.32,511.8,7.08,0.208,_,_,_,_,N,_,A
TIC_285544488,HIP_4151_,_,HD_5015_,HR_244_,GJ_41_,_,GJ_41,18.8007,53.1896,0.1273,2018A&A...616A...1G,13.26748600,61.12397000,4.800,0.010,1997HIP...C......0E,0.540,0.008,1997HIP...C......0E,4.497,Johnson66*,F8V,2001AJ....121.2148G,6105,23,2022A&A...663A...4S,0.5355,0.0077,2012ApJ...757..112B,1.656,0.819,1.18,0.050,0.020,[Fe/H],2022A&A...663A...4S,4.110,0.050,2022A&A...663A...4S,-4.398,2018A&A...616A.108B,1.853,98.54,3.37E-11,30.68,847.8,6.09,0.251,,A,13.50,6.16,N,_,C
TIC_229092427,HIP_5862_,_,HD_7570_,HR_370_,GJ_55_,nu_Phe,Nu_Phoenicis,15.2609,65.5270,0.0704,2022yCat.1355....0G,18.79633928,-45.53166461,4.966,0.002,1998A&AS..129..431H,0.571,0.006,1997yCat.2168....0M,4.640,1980SAAOC...1..166C,F9V_Fe+0.4,2006AJ....132..161G,6110,12,2022A&A...663A...4S,0.3018,0.0141,2019AJ....158..138S,1.263,0.770,1.14,0.160,0.010,[Fe/H],2022A&A...663A...4S,4.340,0.030,2022A&A...663A...4S,-4.950,1996AJ....111..439H,1.415,92.75,5.78E-11,30.24,576.1,7.08,0.244,_,_,_,_,Y,2016A&A...593A..51M,B
TIC_52194638,HIP_5896_,A,HD_7788_A,HR_377_A,GJ_9049A,kap_Tuc_A,Kappa_Tucanae_A,23.2606,42.9912,1.0581,2022yCat.1355....0G,18.94203793,-68.87594481,4.912,0.008,2001KFNT...17e.409K,0.401,_,2022yCat.1355....0G,4.662,estimated,F5V,2006AJ....132..161G,6436,5,2022yCat.1355....0G,0.5911,0.0073,2018A&A...616A...1G,1.588,0.635,1.35,0.030,0.050,[Fe/H],2016ApJ...826..171G,4.021,0.037,2022yCat.1355....0G,-4.272,2020ApJ...898...27S,1.975,84.90,2.97E-11,30.98,872.4,5.51,0.189,01158-6853,A,4.60,2.66,N,_,C
TIC_189576919,HIP_7513_,A,HD_9826_A,HR_458_A,GJ_61A,ups_And_A,Titawin,13.4916,74.1200,0.1900,2007A&A...474..653V,24.19933977,41.40545871,4.100,0.010,1997HIP...C......0E,0.536,0.007,1997HIP...C......0E,3.772,estimated,F8V,2001AJ....121.2148G,6154,10,2022A&A...663A...4S,0.5254,0.0154,2019AJ....158..138S,1.611,1.110,1.18,0.080,0.010,[Fe/H],2022A&A...663A...4S,4.170,0.020,2022A&A...663A...4S,-4.980,2010ApJ...725..875I,1.831,135.72,3.45E-11,29.93,833.1,6.12,0.345,01368+4124,A,55.60,9.45,N,_,C
TIC_231005052,HIP_7751_,B,HD_10361_,HR_486_,GJ_66B,p_Eri_B,p_Eridani_B,8.1894,122.1088,0.0365,2022yCat.1355....0G,24.94818630,-56.19644811,5.876,0.013,1995AJ....109.2828T,0.899,0.009,2001KFNT...17e.409K,5.377,estimated,K2V,2006AJ....132..161G,5111,34,2022A&A...663A...4S,-0.5230,_,estimated,0.698,0.793,0.77,-0.190,0.030,[Fe/H],2022A&A...663A...4S,4.630,0.060,2022A&A...663A...4S,-4.881,1996AJ....111..439H,0.548,66.87,3.86E-10,28.91,168.7,13.86,0.261,01398-5612,B,11.30,-0.12,N,_,A
TIC_231005905,HIP_7751_,A,HD_10360_,HR_487_,GJ_66A_,p_Eri_A,p_Eridani_A,8.1965,122.0035,0.0319,2022yCat.1355....0G,24.94921957,-56.19331786,5.764,0.012,1995AJ....109.2828T,0.858,0.016,2001KFNT...17e.409K,5.262,estimated,K2V,2006AJ....132..161G,5025,21,2022A&A...663A...4S,-0.4790,_,estimated,0.760,0.862,0.78,-0.240,0.020,[Fe/H],2022A&A...663A...4S,4.600,0.050,2022A&A...663A...4S,-4.753,1996AJ....111..439H,0.576,70.29,3.49E-10,28.91,180.8,13.43,0.271,01398-5612,A,11.30,0.12,N,_,A
TIC_229137615,HIP_7978_,_,HD_10647_,HR_506_,GJ_3109_,q1_Eri,q1_Eridani,17.3488,57.6409,0.0453,2022yCat.1355....0G,25.62214382,-53.74083096,5.520,0.010,1997HIP...C......0E,0.551,0.003,1997HIP...C......0E,5.210,2010PASP..122.1437P,F9V,1989ApJS...71..245K,6155,17,2022A&A...663A...4S,0.1904,0.0139,2019AJ....158..138S,1.095,0.587,1.14,-0.040,0.010,[Fe/H],2022A&A...663A...4S,4.440,0.030,2022A&A...663A...4S,-4.675,2006AJ....132..161G,1.245,71.77,7.47E-11,30.53,475.3,7.55,0.189,_,_,_,_,Y,2006ApJ...636.1098B,C
TIC_113710966,HIP_7981_,_,HD_10476_,HR_493_,GJ_68_,107_Psc,107_Piscium,7.6439,130.8234,0.1532,2022yCat.1355....0G,25.62401052,20.26851268,5.241,0.003,1998A&AS..129..431H,0.836,0.008,1997HIP...C......0E,4.780,2010PASP..122.1437P,K1V,1989ApJS...71..245K,5204,11,2022A&A...663A...4S,-0.3434,0.0096,2019AJ....158..138S,0.828,1.008,0.85,-0.040,0.010,[Fe/H],2022A&A...663A...4S,4.490,0.030,2022A&A...663A...4S,-4.912,1996ApJ...457L..99B,0.673,88.10,2.55E-10,28.76,218.9,11.90,0.311,01425+2016,A,54.10,6.36,N,_,A
TIC_419015728,HIP_8102_,_,HD_10700_,HR_509_,GJ_71_,tau_Cet,Tau_Ceti,3.6522,273.8097,0.1701,2022yCat.1355....0G,26.01701307,-15.93747989,3.496,0.003,1998A&AS..129..431H,0.727,0.007,1997HIP...C......0E,3.065,1980SAAOC...1..166C,G8V,1989ApJS...71..245K,5356,11,2022A&A...663A...4S,-0.2961,0.0100,2019AJ....158..138S,0.826,2.103,0.94,-0.510,0.010,[Fe/H],2022A&A...663A...4S,4.530,0.030,2022A&A...663A...4S,-4.958,1996ApJ...457L..99B,0.711,194.72,2.29E-10,27.17,225.9,11.01,0.622,01441-1556,A,160.50,10.32,Y,2018MNRAS.475.3046S,B
