#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#TIC#, RA, DEC, Calibration Level, Mission, Observation ID, Target Name, RA, Dec, Start Time, Exposure Length, Waveband, Filters, Target Classification, Release Date, Instrument, Project, Distance (")
#@string, ra, dec, int, string, string, string, ra, dec, float, float, string, string, string, float, string, string, float
TIC#,RA,DEC,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_exptime,wavelength_region,filters,target_classification,t_obs_release,instrument_name,project,distance
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr16063,HD 33262,76.3779810951216,-57.4732830482325,45488.7266898,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_301880196,326.13054144,14.7719398,2,IUE,swp13664,HD 206860,326.1275162786,14.773938843,44700.32634,6599.755,UV,LOW DISP,,NaN,SWP,,2.16100439269938
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp16795,HD 33262,76.3774951703,-57.4733186916,45079.50145,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp14034,HD 33262,76.3787927684,-57.4733248223,44748.17568,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp14203,HD 33262,76.3787927684,-57.4733248223,44762.19719,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr11602,HD 33262,76.37877961599,-57.4732868219899,44869.5325231,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp15235,HD 33262,76.3787927684,-57.4733248223,44888.94639,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_23969522,147.14738062,46.02100739,2,IUE,lwp01428,WAVCAL  + TFLOOD,147.149408158698,46.0214274228851,44970.2390741,15.851,UV,HIGH DISP,,NaN,LWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr10518,HD 33262,76.37877961599,-57.4732868219899,44728.7739815,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_301880196,326.13054144,14.7719398,2,IUE,lwr11813,HD 206860,326.1275162786,14.773938843,44898.78698,44.52,UV,LOW DISP,,NaN,LWR,,2.16100439269938
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp13888,HD 33262,76.3787927684,-57.4733248223,44729.2938,1499.825,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr13956,HD 33262,76.3779810951216,-57.4732830482325,45196.510081,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_23969522,147.14738062,46.02100739,2,IUE,swp15913,WAVCAL  + TFLOOD,147.145723790988,46.0214372570176,44970.0940046,119.473,UV,HIGH DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,swp17682,HD 33262,76.3779942465,-57.4733210496,45196.00936,1859.864,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr13265,HD 33262,76.3779810951216,-57.4732830482325,45107.8587963,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_23969522,147.14738062,46.02100739,2,IUE,lwr12246,HD 84737,147.145723790988,46.0214372570176,44970.022037,2699.548,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr13111,HD 33262,76.3779810951216,-57.4732830482325,45088.9909722,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_301880196,326.13054144,14.7719398,2,IUE,lwp14646,HD 206860,326.128937096363,14.7736348998503,47510.0761458,2399.723,UV,HIGH DISP,,NaN,LWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr13945,HD 33262,76.3779810951216,-57.4732830482325,45195.4872685,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr10855,HD 33262,76.37877961599,-57.4732868219899,44769.7285185,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr13278,HD 33262,76.3779810951216,-57.4732830482325,45108.95125,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr10817,HD 33262,76.37877961599,-57.4732868219899,44764.6138773,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr13035,HD 33262,76.3779810951216,-57.4732830482325,45075.9777083,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_301880196,326.13054144,14.7719398,2,IUE,swp15972,HD 206860,326.1287184116,14.773642121,44975.41311,6899.582,UV,LOW DISP,,NaN,SWP,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr10929,HD 33262,76.37877961599,-57.4732868219899,44777.6961458,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr13009,HD 33262,76.3779810951216,-57.4732830482325,45071.8110417,899.765,UV,HIGH DISP,,NaN,LWR,,0
TIC_381949122,76.37773198,-57.47270469,2,IUE,lwr13194,HD 33262,76.3779810951216,-57.4732830482325,45096.9059375,779.752,UV,HIGH DISP,,NaN,LWR,,0
